,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
133,15,5cfddbd3ee0b1500019fa84c,0.8913652186560856,22.567233333333334,7.0,146.67857142857142,3.092857142857143,finance,0.913613157441864,2.0
134,16,5d1a69d8f97a18001977e0d7,0.8326273707445533,28.241366666666668,15.75,50.84126984126984,0.8412698412698414,finance,0.8551586351244197,1.0
135,17,5d1c9f75328d1c001af3af0f,0.8407815380345136,51.68435,7.75,88.7741935483871,4.64516129032258,finance,0.8551586351244197,2.0
136,18,5d470786da637a00014ba26f,0.697774618624099,31.720066666666664,7.75,94.29032258064517,4.129032258064516,finance,0.43702585253816273,2.0
137,19,5d67b6d92b7448000173d95a,0.8369897059046301,16.82463333333333,8.25,88.72727272727273,2.3212121212121213,finance,0.8551586351244197,2.0
138,20,5d70ec2138ac7e00012f817b,0.8195915206833291,16.294933333333333,8.75,75.62857142857143,3.005714285714286,finance,0.8686935671402775,1.0
139,21,5dafea4de40355001651fa2f,0.7736181910744744,39.68703333333334,25.75,16.679611650485437,0.8932038834951453,finance,0.779136947850307,1.0
140,22,5dde680c40460edc4a5dc1a2,0.8556156207624468,14.936166666666667,8.5,68.79411764705883,3.0705882352941174,finance,0.8259223440443022,2.0
141,23,5de2b59d8fde1c2eb47f92d8,0.9132419182700475,19.434833333333334,14.0,62.607142857142854,2.7285714285714286,finance,0.8825559560970593,2.0
142,24,5e1b65eeb287dc38d94b694e,0.8542877439498773,15.9032,6.25,107.24,5.72,finance,0.8068331476784361,1.0
143,25,5e31e6491faa251bf58151ce,0.8258645749624218,52.331783333333334,4.75,180.10526315789474,8.073684210526318,finance,0.8787321874818335,2.0
144,26,5e3b5fa9255e7a37bc841135,0.8436149784434355,28.826999999999998,5.75,114.1304347826087,5.565217391304348,finance,0.8026144915120693,2.0
145,27,5e7d3b58d638273c7f823c7b,0.8834512816867814,14.586266666666667,7.25,86.48275862068965,3.855172413793103,finance,0.9221501055838477,1.0
146,28,5e822d17f956a29530ccc2f8,0.8610607550319407,39.4998,6.75,102.74074074074075,4.34074074074074,finance,1.0,1.0
147,29,5e9fdd5effe6a51855448d1b,0.7459995343320117,41.22561666666666,9.75,94.84615384615384,3.41025641025641,finance,0.6364289504842595,2.0
